age_group,0-17,18-24,25-34,35-44,45-49,50-55,over 56
genre,,,,,,,
Fantasy,3.239711934,3.455988746,3.404,3.588048499,3.686387435,3.692094313,3.653562654
Horror,3.155714286,3.308462532,3.175586137,3.301318267,3.602328431,3.405462185,3.219135802
Mystery,3.445288754,3.64537037,3.541470311,3.738832853,3.925329429,3.746511628,3.651515152
Thriller,3.1705,3.505907626,3.408491848,3.577337305,3.701061865,3.537097527,3.577052868
Film-Noir,3.646666667,3.901595745,3.84962406,4.001736111,4.157608696,4.034482759,3.944444444
Comedy,3.21442623,3.368818593,3.344548821,3.510342418,3.67932678,3.474433893,3.452235772
Drama,3.457731959,3.651810741,3.584595859,3.72951922,3.840592784,3.657950423,3.754746835
(no genres listed),,3.6,3.375,3,,5,
Musical,3.4,3.504752852,3.500429923,3.644869215,3.769308943,3.660714286,3.708
Western,3.288659794,3.583120205,3.451957295,3.606648199,3.612318841,3.575396825,3.695945946
Action,3.031988189,3.441801859,3.363780488,3.489069191,3.52143878,3.511434016,3.589162562
War,3.703862661,3.798578199,3.746488294,3.8605,3.900593472,3.800940439,3.947089947
Children,3.161559889,3.29945999,3.394615061,3.586423841,3.588302752,3.744230769,3.570238095
IMAX,3.233870968,3.532341527,3.406934307,3.693236715,3.71563981,3.830223881,3.78358209
Documentary,3.575221239,3.486338798,3.700417537,3.961813842,4.122881356,3.822916667,4.307692308
Animation,3.345724907,3.499325691,3.537058153,3.752165544,3.807272727,3.922752809,3.770833333
Crime,3.400157233,3.654182454,3.563995838,3.71776406,3.901305684,3.714667685,3.721938776
Sci-Fi,3.051617874,3.466666667,3.341135233,3.506010081,3.591364688,3.580852776,3.579637097
Romance,3.308996089,3.491546808,3.461626794,3.620595145,3.778323699,3.496600952,3.597426471
Adventure,3.122516556,3.479835552,3.454975935,3.582974718,3.569317571,3.624144368,3.677438308
