occupation,K12student,academic,admin,artist,collegeStudent,customer service,doctor,executive,farmer,homemaker,lawyer,other,programmer,retired,sales,scientist,selfemployed,technician
genre,,,,,,,,,,,,,,,,,,
Sci-Fi,3.167087011,3.305672269,3.475308642,3.257375381,3.43020876,3.6,3.68081761,3.349412492,3.807017544,3.700598802,3.498579545,3.620506777,3.458081571,3.986046512,3.539964476,3.533195021,3.425159236,3.503770028
IMAX,3.409638554,3.271153846,3.573333333,3.380794702,3.472133758,4.21875,3.956896552,3.369047619,3.78125,4.413793103,3.612359551,3.613432836,3.72815534,4.25,3.505952381,3.403225806,3.761744966,3.721461187
Documentary,3.646341463,4.036666667,3.685185185,3.907407407,3.567164179,4.2,3.666666667,3.392473118,,4,3.777777778,3.996794872,3.88559322,4.413043478,3.6875,4,3.34,3.922680412
Children,3.331877729,3.340811966,3.342424242,3.332491582,3.280395137,3.869791667,3.656542056,3.564131669,3.75,3.642857143,3.476470588,3.466821886,3.508819539,4.040540541,3.428870293,3.544715447,3.372403561,3.610084034
Film-Noir,3.71686747,4.208,3.611111111,3.869047619,3.926229508,4.239130435,3.85,3.879464286,4.666666667,3.5,3.941176471,3.90625,3.8925,3.95,4.137931034,3.7,4.25,3.81547619
Musical,3.542517007,3.587044534,3.195876289,3.498161765,3.48297491,4.111111111,4.058333333,3.743975904,4,3.783018868,3.359649123,3.466594828,3.494057725,3.965116279,3.640410959,3.72,3.50295858,3.62345679
Crime,3.534974093,3.666666667,3.721153846,3.573288332,3.675784563,3.891509434,3.849152542,3.56938326,3.724489796,3.880952381,3.56097561,3.720011534,3.659738041,4.098484848,3.686131387,3.610441767,3.575516693,3.69374457
Drama,3.578644501,3.671029083,3.671927847,3.631494088,3.639899515,4.024853801,3.819694868,3.584697218,3.917808219,3.692493947,3.612531969,3.703832753,3.645792212,3.94126506,3.752043597,3.542649728,3.66864831,3.722924684
Animation,3.50140056,3.561511424,3.575657895,3.557038835,3.511374408,4.106060606,3.913385827,3.633499171,3.611111111,3.704545455,3.488188976,3.589984351,3.681521739,4.203539823,3.65625,3.668674699,3.596385542,3.773474178
Fantasy,3.37414966,3.398843931,3.401826484,3.373219373,3.434153846,3.770114943,3.614349776,3.458786232,3.638888889,3.724043716,3.4092827,3.578333333,3.556955093,4.046218487,3.62347561,3.579861111,3.43877551,3.675167785
War,3.759856631,3.807692308,3.692708333,3.845425868,3.746865204,4.290697674,3.772151899,3.672932331,4,4,3.876470588,3.794892916,3.873935264,3.9375,3.932835821,3.692307692,3.791666667,3.879012346
Western,3.330357143,3.601522843,3.342857143,3.392857143,3.593023256,3.973684211,3.416666667,3.587765957,5,3.770833333,3.407894737,3.636585366,3.365145228,4.25,3.686440678,4,3.492063492,3.534615385
Comedy,3.318131564,3.377269512,3.38961039,3.279839327,3.352976309,3.611313869,3.679824561,3.402787621,3.723684211,3.661993769,3.457104558,3.52748227,3.444318468,3.968944099,3.538977368,3.422131148,3.301930502,3.499817051
Mystery,3.582908163,3.672716628,3.637426901,3.568965517,3.639017609,3.880597015,3.720338983,3.546208531,3.869565217,3.683823529,3.668918919,3.688564477,3.702033037,4.363636364,3.802777778,3.756198347,3.693846154,3.653448276
Action,3.153127539,3.280811232,3.386138614,3.293907794,3.440361722,3.594086022,3.637867647,3.345056403,3.554621849,3.733727811,3.436281859,3.583977512,3.428730018,4.001470588,3.537735849,3.625792812,3.354545455,3.501085776
Horror,3.217171717,3.270061728,3.309210526,3.114441417,3.273333333,3.814285714,3.204301075,3.180731364,3.388888889,3.593023256,3.189516129,3.480971129,3.384057971,3.730769231,3.4325,3.476415094,3.183870968,3.337078652
(no genres listed),,0.5,,,3.6,,,,,,4.5,,3.833333333,5,,,,3
Romance,3.431309904,3.518575851,3.55026455,3.415780867,3.475809758,3.908805031,3.751740139,3.522580645,3.775862069,3.728985507,3.621333333,3.581141439,3.49815413,3.860544218,3.701785714,3.421221865,3.520059435,3.59275266
Thriller,3.287468247,3.451474431,3.5,3.378575969,3.513799329,3.68902439,3.739626556,3.379847645,3.636363636,3.715953307,3.428828829,3.628180782,3.551835853,3.954545455,3.596504559,3.579418345,3.42952381,3.526315789
Adventure,3.241862568,3.394174757,3.491596639,3.38381295,3.471579256,3.58040201,3.731111111,3.453557733,3.683098592,3.7375,3.503952569,3.650469579,3.497596154,4.02,3.543785311,3.708083832,3.410372041,3.599740091
