gender,0-17,18-24,25-34,35-44,45-49,50-55,over 56
date,,,,,,,
1996,3.402985075,3.530991736,3.570680628,3.436868687,3.125,3.427350427,3.257861635
1997,3.292929293,3.514925373,3.559610706,3.605839416,3.53030303,3.806451613,3.441860465
1998,2.965811966,3.238938053,4.056338028,3.806451613,3.526315789,3.92920354,
1999,3.076923077,3.486111111,3.505780347,3.712984055,3.574468085,,4
2000,3.367346939,3.693103448,3.475675676,3.540892193,3.383631714,3.041450777,3.076923077
2001,2.625,3.573913043,3.354497354,3.243523316,3.929292929,2.921052632,3.590909091
2002,3.1875,4.030769231,3.056847545,3.324427481,3.660194175,1.857142857,
2003,3.25,3.332191781,3.316470588,3.03125,3.38150289,3.394736842,3.555865922
2004,,3.731907895,3.159763314,3.411504425,3.379487179,2.860995851,3.569230769
2005,,3.484870317,3.609050445,3.441649899,3.346590909,3.374358974,
2006,3.203196347,3.483208955,3.36566092,3.343837535,3.967213115,3.667938931,3.6625
2007,3.083333333,3.637209302,2.885416667,3.347826087,3.239795918,,3.4375
2008,3.241935484,3.485955056,3.407894737,3.637426901,3.181818182,3.492647059,
2009,3.075471698,2.971671388,3.419014085,3.588709677,3.145833333,2.5,4.23
2010,2.957446809,3.962162162,3.464814815,3.338842975,3.98046875,,3.888888889
2011,2.534042553,3.555819477,3.400297619,3.551282051,2.807692308,4.1,
2012,,3.493351064,3.311594203,3.652263374,4.258333333,3.746575342,2.5
2013,4.25,3.797979798,3.454983923,3.094262295,3.5,3.5,4.088235294
2014,,3.492957746,3.1828125,3.417910448,,3.679166667,
2015,,3.678350515,3.293522267,3.905781585,3.956989247,3.801675978,4
2016,,2.927544248,3.223076923,3.674157303,3.432885906,3.909937888,3.775
