Tags,Number of questions,Number of Answered
set,1,1
percentile,1,1
weighted,1,1
count,1,1
ctypes,1,1
pypng,1,1
resnet,1,0
optimization,3,3
bitwise-operators,1,1
installation,1,1
out-of-memory,1,0
mapping,1,1
r,1,1
file-format,1,1
output,1,0
reduce,1,1
cuda,1,0
mpi4py,1,0
increment,1,1
fft,2,2
if-statement,2,2
genfromtxt,1,1
mean,1,1
multidimensional-array,8,6
normalization,2,2
openai-gym,1,0
performance,15,13
data-mining,1,0
sympy,1,0
overlay,1,1
lowpass-filter,1,0
visualization,1,1
affinetransform,1,0
binary-matrix,1,1
masked-array,1,0
pip,5,4
deep-learning,5,2
parallel-processing,4,2
matlab,12,8
homebrew,1,1
python-2.7,30,21
aggregate,1,1
pycaffe,1,0
merge,2,2
types,1,1
data-science,2,2
series,1,1
nnet,1,0
windows,2,2
hierarchical-clustering,1,0
runtime-error,1,1
torch,1,0
numpy,500,358
multiplication,1,1
integration,1,1
scipy,52,35
signal-processing,3,2
floyd-warshall,1,1
graph-algorithm,1,1
io,1,0
quad,1,0
64bit,1,1
mmap,1,0
integral,2,1
tiff,1,0
data-analysis,2,1
opticalflow,1,1
numpy-memmap,2,2
yocto,1,0
skimage,2,1
azure,1,1
debugging,1,1
list,8,6
dataframe,13,12
k-means,1,1
moviepy,1,1
int128,1,1
knn,1,1
curve-fitting,2,1
directory,1,1
pyqt5,1,0
function,1,1
object-slicing,1,1
stdev,1,1
gdal,1,0
opencv,16,11
cosine-similarity,1,1
matrix-multiplication,3,3
ubuntu-16.04,1,0
conda,1,0
floating-accuracy,1,1
import,3,3
fromfile,1,1
pandas,57,52
windows64,1,1
tensorflow,14,9
linear-programming,2,1
finance,1,1
linux,4,3
virtualenv,1,0
vtk,3,1
artificial-intelligence,1,0
slash,1,1
regression,2,0
ipython,1,1
vector,2,2
mathematical-optimization,1,1
operators,1,1
string,2,2
append,5,3
exponentiation,1,1
f2py,2,0
image-masking,1,0
mask,2,1
excel,1,1
subclass,1,1
osx,2,1
for-loop,1,0
floating-point,1,1
sockets,1,1
ode,1,1
thread-local-storage,1,1
plot,4,3
math,2,1
pyenv,1,0
pygame,1,0
histogram,1,1
object-detection,1,0
hash,1,1
rhel6,1,1
statistics,5,3
arrays,106,90
pyinstaller,1,0
slice,2,2
range,1,1
cross-compiling,1,0
c,3,1
vscode,1,1
shared-objects,1,0
memory,2,1
apt,1,1
pycharm,1,0
tesseract,1,1
vectorization,13,12
buffer,2,1
gradient-descent,1,1
whitelist,1,1
scikit-learn,11,6
kernel-density,1,0
matplotlib-basemap,1,0
c++,3,2
initialization,1,1
converter,1,1
windows-10,1,0
theano-cuda,1,0
recurrent-neural-network,1,1
linear-regression,3,3
colors,2,1
linear-algebra,4,2
concatenation,2,2
euclidean-distance,1,1
matrix,31,25
anaconda,6,0
datetime64,1,1
greatest-common-divisor,1,1
database,1,1
eigenvector,1,0
physics,2,1
interpolation,1,1
perceptron,1,1
truthiness,1,1
input,1,1
python-c-api,1,0
amazon-s3,1,1
scale,1,1
data-fitting,2,1
nan,2,2
derivative,1,1
python-import,1,1
mpi,1,0
python,500,358
mnist,1,1
unique,1,1
machine-learning,12,7
covariance,1,1
shuffle,1,1
pca,1,1
jupyter-notebook,1,0
h5py,1,0
autoencoder,1,0
azure-web-roles,1,1
docstring,1,0
bigfloat,1,0
nonetype,1,0
boto3,1,1
sorting,3,3
diagonal,2,2
sparse-matrix,4,3
theano,7,3
pearson,1,1
indexing,2,2
differential-evolution,1,1
bash,1,1
variables,1,1
list-comprehension,2,2
imshow,1,1
visual-studio,1,0
nco,1,1
loops,2,1
pipeline,1,1
time-series,1,1
python-dateutil,1,1
type-conversion,1,1
python-3.x,13,9
grouping,1,1
image,2,2
image-recognition,1,1
comparison,1,1
spyder,2,1
matrix-indexing,1,1
image-processing,2,1
itertools,1,1
pickle,1,1
netcdf,2,2
python-xarray,1,1
numerical-methods,2,2
memory-management,1,1
typeerror,1,0
miniconda,1,0
cython,4,2
random,4,4
dot-product,1,1
package,1,0
ffmpeg,1,1
computer-vision,2,2
keras,3,2
csv,6,5
python-imaging-library,2,2
caffe,2,0
logical-operators,2,2
kernel,1,0
fortran,2,1
dictionary,4,4
multiprocessing,1,0
pyqt,1,0
seaborn,2,2
transformation,1,1
gaussian,3,2
decision-tree,1,1
boolean-logic,1,1
cygwin,1,0
compare,1,1
scatter,1,0
ubuntu,2,1
python-3.5,2,2
convolution,2,2
coalesce,1,1
winapi,2,1
joblib,2,0
matplotlib,31,19
ipython-notebook,1,0
datetime,3,2
neural-network,2,1
transpose,1,1
conditional,1,1
numpy-broadcasting,5,5
shortest-path,1,1
audio,1,1
elementwise-operations,1,1
algorithm,8,6
multithreading,1,1
split,1,1
classification,1,1
binary,1,1
